name,affiliation,homepage,scholarid,turing_award,acm_fellow,region,country,begin_time,end_time
Aditi Majumder,"University of California, Irvine",http://www.ics.uci.edu/~majumder,tXhqJv0AAAAJ,0,0,america,us,2013,
Aditya G. Parameswaran,"University of California, Berkeley",https://cs.illinois.edu/directory/profile/adityagp,VeB3UbcAAAAJ,0,0,america,us,2016,2023.0
Aditya V. Thakur,"University of California, Davis",http://thakur.cs.ucdavis.edu,x8952qgAAAAJ,0,0,america,us,2010,2021.0
Aggelos K. Katsaggelos,Northwestern University,http://www.mccormick.northwestern.edu/research-faculty/directory/profiles/katsaggelos-aggelos.html,aucB85kAAAAJ,0,0,america,us,2015,
Alane Suhr,"University of California, Berkeley",https://www2.eecs.berkeley.edu/Faculty/Homepages/suhr.html,daslsUkAAAAJ,0,0,america,us,2016,2022.0
Alberto L. Sangiovanni-Vincentelli,"University of California, Berkeley",https://www2.eecs.berkeley.edu/Faculty/Homepages/sangiovanni-vicentelli.html,AhgjQ2QAAAAJ,0,1,america,us,2016,2019.0
Aleksandar Kuzmanovic,Northwestern University,http://www.cs.northwestern.edu/~akuzma,Q_zh52YAAAAJ,0,0,america,us,2012,2023.0
Alexander C. Berg,"University of California, Irvine",http://acberg.com,jjEht8wAAAAJ,0,0,america,us,2010,2023.0
Alexander Gamero-Garrido,"University of California, Davis",https://www.gamero-garrido.com,K9AHcLAAAAAJ,0,0,america,us,2018,2021.0
Alexander Ihler,"University of California, Irvine",http://www.ics.uci.edu/~ihler,ffdt7gMAAAAJ,0,0,america,us,2002,
Alexandre M. Bayen,"University of California, Berkeley",http://www.ce.berkeley.edu/people/faculty/bayen,a5nY-pYAAAAJ,0,0,america,us,2010,2022.0
Alexei A. Efros,"University of California, Berkeley",http://www.eecs.berkeley.edu/~efros,d97bGd8AAAAJ,0,0,america,us,2002,
Alfred Kobsa,"University of California, Irvine",https://www.ics.uci.edu/~kobsa,0nBysEcAAAAJ,0,0,america,us,2007,2023.0
Ali Javey,"University of California, Berkeley",http://nano.eecs.berkeley.edu,1gqyKqcAAAAJ,0,0,america,us,2001,2021.0
Alok N. Choudhary,Northwestern University,http://www.eecs.northwestern.edu/~choudhar,q0nuNrEAAAAJ,0,1,america,us,2007,
Amanda Raybuck,"University of California, Davis",https://cs.ucdavis.edu/people/amanda-raybuck,7wf31WYAAAAJ,0,0,america,us,2011,2021.0
Amelia Regan,"University of California, Irvine",http://www.faculty.uci.edu/profile.cfm?faculty_id=3266,1xfwEBAAAAAJ,0,0,america,us,2001,2020.0
Anant Sahai,"University of California, Berkeley",https://people.eecs.berkeley.edu/~sahai,4gWt4fgAAAAJ,0,0,america,us,2013,2022.0
Anca D. Dragan,"University of California, Berkeley",http://www.eecs.berkeley.edu/~anca,UgHB5oAAAAAJ,0,0,america,us,2016,2019.0
Andrew Crotty,Northwestern University,https://users.cs.northwestern.edu/~ajc4828,7rnfEFwAAAAJ,0,0,america,us,2000,2023.0
André van der Hoek,"University of California, Irvine",http://www.ics.uci.edu/~andre,h3L7zkoAAAAJ,0,0,america,us,2012,
