name,affiliation,homepage,scholarid,turing_award,acm_fellow,region,country,begin_time,end_time
A. B. Siddique 0001,University of Kentucky,http://cs.uky.edu/~siddique,pVnchfsAAAAJ,0,0,america,us,2010,2021.0
A. Jefferson Offutt,George Mason University,http://cs.gmu.edu/~offutt,fAeRp3kAAAAJ,0,0,america,us,2011,2021.0
A. P. Wim Böhm,Colorado State University,http://www.cs.colostate.edu/~bohm,NOSCHOLARPAGE,0,0,america,us,2008,2019.0
A. Selcuk Uluagac,Florida International University,http://nweb.eng.fiu.edu/selcuk,tcK62uAAAAAJ,0,0,america,us,2011,2022.0
Aanjhan Ranganathan,Northeastern University,https://www.aanjhan.com,Jid_EAkAAAAJ,0,0,america,us,2014,2023.0
Aaron Clauset,University of Colorado Boulder,https://www.colorado.edu/faculty/clauset,e7VI_HcAAAAJ,0,0,america,us,2003,2019.0
Aaron F. Bobick,Washington University in St. Louis,https://engineering.wustl.edu/faculty/Aaron-Bobick.html,rynvwScAAAAJ,0,0,america,us,2013,2020.0
Aaron M. Dollar,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/aaron-m-dollar,jFekO3IAAAAJ,0,0,america,us,2005,2022.0
Aaron Potechin,University of Chicago,http://www.potechin.org/aaronpotechin,z28rttMAAAAJ,0,0,america,us,2005,
Aaron Roth 0001,University of Pennsylvania,http://www.cis.upenn.edu/~aaroth,kLUQrrYAAAAJ,0,0,america,us,2004,2021.0
Aaron Schulman,"University of California, San Diego",http://cseweb.ucsd.edu/~schulman,OP27m34AAAAJ,0,0,america,us,2010,2019.0
Aaron Sidford,Stanford University,http://www.aaronsidford.com,SWqd2rgAAAAJ,0,0,america,us,2007,2021.0
Aaron Steven White,University of Rochester,http://aaronstevenwhite.io,R-ZVWNEAAAAJ,0,0,america,us,2005,2020.0
Aaron Striegel,University of Notre Dame,https://engineering.nd.edu/profiles/astriegel,w88NouMAAAAJ,0,0,america,us,2018,2021.0
Aaron Stump,University of Iowa,https://www.cs.uiowa.edu/~astump,568MtVQAAAAJ,0,0,america,us,2014,
Aarti Gupta,Princeton University,https://www.cs.princeton.edu/people/profile/aartig,S_jYB2sAAAAJ,0,1,america,us,2008,2022.0
Aarti Sathyanarayana,Northeastern University,https://www.aartisathyanarayana.org,gIvDmmEAAAAJ,0,0,america,us,2013,2021.0
Aarti Singh,Carnegie Mellon University,http://www.cs.cmu.edu/~aarti,6jP3ZSEAAAAJ,0,0,america,us,2017,2019.0
Aayush Jain,Carnegie Mellon University,https://sites.google.com/view/aayushjain,VZ6S70MAAAAJ,0,0,america,us,2001,2021.0
Abby Stylianou,Saint Louis University,https://cs.slu.edu/people/stylianou,mNoB9SgAAAAJ,0,0,america,us,2009,2023.0
Abdelfattah Amamra,University of Connecticut,http://www.cse.uconn.edu/people/faculty,cXl_OFIAAAAJ,0,0,america,us,2009,
Abdeltawab M. Hendawi,University of Rhode Island,https://homepage.cs.uri.edu/~ahendawi,ad3Gki4AAAAJ,0,0,america,us,2016,2022.0
Abdul Serwadda,Texas Tech University,http://www.depts.ttu.edu/CS/faculty/faculty.php?name=Abdul%20Serwadda,0YfFzzUAAAAJ,0,0,america,us,2003,2019.0
Abdullah Al-Mamun 0001,Augusta University,https://www.augusta.edu/faculty/directory/view.php?id=AALMAMUN,PpBDA1cAAAAJ,0,0,america,us,2017,2021.0
Abdullah Mueen,University of New Mexico,http://www.cs.unm.edu/~mueen,OImDWloAAAAJ,0,0,america,us,2015,
Abdullah Muzahid,Texas A&M University,http://people.tamu.edu/~abdullah.muzahid/index.html,hN7mpGMAAAAJ,0,0,america,us,2015,2021.0
Abdullah-Al-Zubaer Imran,University of Kentucky,https://aaz-imran.github.io,HI7UKCIAAAAJ,0,0,america,us,2006,2021.0
Abe Davis,Cornell University,http://abedavis.com,Gp8ghkAAAAJ,0,0,america,us,2009,
Abhi Shelat,Northeastern University,https://shelat.khoury.neu.edu,Te94nKAAAAAJ,0,0,america,us,2011,2020.0
Abhijit Mahalanobis,University of Central Florida,https://www.crcv.ucf.edu/person/abhijit-mahalanobis,L9Y5FbwAAAAJ,0,0,america,us,2013,2022.0
Abhishek Bhattacharjee,Yale University,https://cpsc.yale.edu/people/abhishek-bhattacharjee,AopgnHAAAAAJ,0,0,america,us,2005,2022.0
Abhishek Dubey,Vanderbilt University,https://engineering.vanderbilt.edu/bio/abhishek-dubey,5J3w9OoAAAAJ,0,0,america,us,2004,2021.0
Abhishek Gupta 0008,University of Washington,https://abhishekunique.github.io,1wLVDP4AAAAJ,0,0,america,us,2000,2019.0
Abhishek Jain 0002,Johns Hopkins University,https://www.cs.jhu.edu/faculty/abhishek-jain,xjkmJsgAAAAJ,0,0,america,us,2017,2020.0
Abhradeep Thakurta,"University of California, Santa Cruz",https://aguhatha.github.io,1rV69hMAAAAJ,0,0,america,us,2007,
Abolfazl Razi,Clemson University,https://arazi.people.clemson.edu,DhwC8gsAAAAJ,0,0,america,us,2006,2022.0
Abtin Rahimian,University of Colorado Boulder,http://home.cs.colorado.edu/~abra3237,2iXwFdsAAAAJ,0,0,america,us,2009,2023.0
Abu Asaduzzaman,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/ECE/Asaduzzaman-Abu.php,WYv3oSEAAAAJ,0,0,america,us,2017,2022.0
Abusayeed Saifullah,Wayne State University,https://engineering.wayne.edu/profile/gi8674,CYwffSUAAAAJ,0,0,america,us,2001,2023.0
Achuta Kadambi,"University of California, Los Angeles",https://www.ee.ucla.edu/achuta-kadambi,UMzWJikAAAAJ,0,0,america,us,2018,2019.0
Ada Gavrilovska,Georgia Institute of Technology,http://www.cc.gatech.edu/home/ada,OlRjTCIAAAAJ,0,0,america,us,2011,2023.0
Ada Lerner,Northeastern University,https://www.khoury.northeastern.edu/people/ada-lerner,BkZor8wAAAAJ,0,0,america,us,2010,2021.0
Adalbert Gerald Soosai Raj,"University of California, San Diego",https://adalbertgerald.github.io,0TxoLzMAAAAJ,0,0,america,us,2002,
Adam Belay,Massachusetts Institute of Technology,https://engineering.mit.edu/faculty-research/year-2017,AKQec5wAAAAJ,0,0,america,us,2009,2021.0
Adam Breuer,Dartmouth College,https://www.adambreuer.com,1b3CsE4AAAAJ,0,0,america,us,2002,2021.0
Adam Chlipala,Massachusetts Institute of Technology,http://adam.chlipala.net,Imh0w3AAAAAJ,0,0,america,us,2008,2019.0
Adam Czajka,University of Notre Dame,https://engineering.nd.edu/profiles/aczajka,_OObpEkAAAAJ,0,0,america,us,2018,
Adam D. Smith,Boston University,http://www.cse.psu.edu/~ads22,fkGi-JMAAAAJ,0,0,america,us,2017,2021.0
Adam Doupé,Arizona State University,http://adamdoupe.com,hsJqhNAAAAAJ,0,0,america,us,2009,
Adam Finkelstein,Princeton University,https://www.cs.princeton.edu/~af,a959F6AAAAAJ,0,1,america,us,2011,2021.0
Adam Hahn,Washington State University,http://www.eecs.wsu.edu/~ahahn/index.html,nGBlVWwAAAAJ,0,0,america,us,2001,2020.0
Adam J. Aviv,George Washington University,https://adamaviv.com,ExgxufEAAAAJ,0,0,america,us,2015,2019.0
Adam J. Lee,University of Pittsburgh,http://people.cs.pitt.edu/~adamlee,1IoFK0oAAAAJ,0,0,america,us,2015,2023.0
Adam M. Smith 0001,"University of California, Santa Cruz",https://adamsmith.as,78OLNd4AAAAJ,0,0,america,us,2001,2019.0
Adam Perer,Carnegie Mellon University,https://perer.org,wAxr6b8AAAAJ,0,0,america,us,2016,2022.0
Adam R. Klivans,University of Texas at Austin,https://www.cs.utexas.edu/~klivans,UD87zMYAAAAJ,0,0,america,us,2008,2021.0
Adam Wierman,California Institute of Technology,http://www.cs.caltech.edu/~adamw,4OvOdSgAAAAJ,0,0,america,us,2003,2021.0
Adel Said Elmaghraby,University of Louisville,http://louisville.edu/speed/people/faculty/elmaghrabyAdel,84U09_IAAAAJ,0,0,america,us,2003,2022.0
Adil Ahmad,Arizona State University,https://adil-ahmad.net,BYJEZ4kAAAAJ,0,0,america,us,2001,2020.0
Adithya Kumar Pediredla,Dartmouth College,https://sites.google.com/view/adithyapediredla,ey6n20kAAAAJ,0,0,america,us,2003,2023.0
Aditi Majumder,"University of California, Irvine",http://www.ics.uci.edu/~majumder,tXhqJv0AAAAJ,0,0,america,us,2013,
Aditi Raghunathan,Carnegie Mellon University,https://www.cs.cmu.edu/~aditirag,Ch9iRwQAAAAJ,0,0,america,us,2000,2023.0
Aditya Akella,University of Texas at Austin,http://pages.cs.wisc.edu/~akella,d_rxnzAAAAAJ,0,1,america,us,2003,2020.0
Aditya Bhaskara,University of Utah,http://www.cs.utah.edu/~bhaskara,tqxTaiAAAAAJ,0,0,america,us,2017,2022.0
Aditya G. Parameswaran,"University of California, Berkeley",https://cs.illinois.edu/directory/profile/adityagp,VeB3UbcAAAAJ,0,0,america,us,2016,2023.0
Aditya Grover,"University of California, Los Angeles",https://aditya-grover.github.io,oOhnPUgAAAAJ,0,0,america,us,2013,2020.0
Aditya Johri,George Mason University,https://cs.gmu.edu/directory/detail/183,Mv2dCeEAAAAJ,0,0,america,us,2010,2019.0
Aditya V. Thakur,"University of California, Davis",http://thakur.cs.ucdavis.edu,x8952qgAAAAJ,0,0,america,us,2010,2021.0
Adji B. Dieng,Princeton University,https://www.cs.princeton.edu/people/profile/ad6725,ZCniP_MAAAAJ,0,0,america,us,2010,2019.0
Adnan Darwiche,"University of California, Los Angeles",http://www.cs.ucla.edu/~darwiche,pygPWvEAAAAJ,0,1,america,us,2001,2023.0
Adrian P. Lauf,University of Louisville,http://louisville.edu/speed/people/faculty/laufAdrian,fU0XrdEAAAAJ,0,0,america,us,2014,2023.0
Adrian Sampson,Cornell University,http://adriansampson.net,Bq50aCUAAAAJ,0,0,america,us,2013,
Adrian Sandu,Virginia Tech,http://people.cs.vt.edu/~asandu,A7fZNg0AAAAJ,0,0,america,us,2016,2020.0
Adriana B. Compagnoni,Stevens Institute of Technology,http://www.cs.stevens.edu/~abc/Adriana_Compagnoni/Adriana_Compagnoni.html,S-zXJGUAAAAJ,0,0,america,us,2008,2021.0
Adriana Iamnitchi,University of South Florida,http://www.cse.usf.edu/~anda,BfrPSGIAAAAJ,0,0,america,us,2005,2019.0
Adriana Kovashka,University of Pittsburgh,http://people.cs.pitt.edu/~kovashka,Dl949GoAAAAJ,0,0,america,us,2016,2022.0
Adriana Schulz,University of Washington,https://homes.cs.washington.edu/~adriana,2D6rV-UAAAAJ,0,0,america,us,2011,2023.0
