"university_name","score","rank"
"Carnegie Mellon University","702.5","1"
"University of California, Los Angeles","257.75","10"
"University of Pennsylvania","256.5","11"
"Cornell University","250.5","12"
"New York University","240.75","13"
"Princeton University","220.5","14"
"University of Southern California","209.5","15"
"Columbia University","206","16"
"Duke University","195.5","17"
"University of Chicago","195","18"
"Johns Hopkins University","173.5","19"
"University of California, San Diego","478.25","2"
"University of California, Santa Barbara","166.5","20"
"University of California, Irvine","156.25","21"
"Arizona State University","155.5","22"
"University of California, Riverside","142.5","23"
"North Carolina State University","140.75","24"
"University of Virginia","138.25","25"
"Harvard University","133","26"
"University of Central Florida","132","27"
"University of Utah","124.75","28"
"Boston University","123.5","29"
"University of California, Berkeley","426.75","3"
"George Mason University","118.5","30"
"Texas A&M University","116","31"
"Northwestern University","114.25","32"
"University of California, Davis","114.25","32"
"Rice University","108.5","34"
"Virginia Tech","108.25","35"
"University of California, Santa Cruz","102.5","36"
"Yale University","100.75","37"
"Brown University","100.25","38"
"Michigan State University","98.75","39"
"University of Washington","375.75","4"
"University of Rochester","92","40"
"Oregon State University","89.25","41"
"University of Notre Dame","88.75","42"
"University of Colorado Boulder","78.25","43"
"University of California, Merced","72.25","44"
"Rochester Institute of Technology","68.5","45"
"Washington University in St. Louis","62","46"
"Emory University","59","47"
"University of Pittsburgh","54","48"
"Worcester Polytechnic Institute","53.5","49"
"Georgia Institute of Technology","372.75","5"
"Dartmouth College","48.25","50"
"Stanford University","357.5","6"
"Massachusetts Institute of Technology","350","7"
"Northeastern University","269","8"
"University of Texas at Austin","260.25","9"
