"university_name","score","rank"
"Carnegie Mellon University","1124","1"
"University of California, Los Angeles","412.4","10"
"University of Pennsylvania","410.4","11"
"Cornell University","400.8","12"
"New York University","385.2","13"
"Princeton University","352.8","14"
"University of Southern California","335.2","15"
"Columbia University","329.6","16"
"Duke University","312.8","17"
"University of Chicago","312","18"
"Johns Hopkins University","277.6","19"
"University of California, San Diego","765.2","2"
"University of California, Santa Barbara","266.4","20"
"University of California, Irvine","250","21"
"Arizona State University","248.8","22"
"University of California, Riverside","228","23"
"North Carolina State University","225.2","24"
"University of Virginia","221.2","25"
"Harvard University","212.8","26"
"University of Central Florida","211.2","27"
"University of Utah","199.6","28"
"Boston University","197.6","29"
"University of California, Berkeley","682.8","3"
"George Mason University","189.6","30"
"Texas A&M University","185.6","31"
"Northwestern University","182.8","32"
"University of California, Davis","182.8","32"
"Rice University","173.6","34"
"Virginia Tech","173.2","35"
"University of California, Santa Cruz","164","36"
"Yale University","161.2","37"
"Brown University","160.4","38"
"Michigan State University","158","39"
"University of Washington","601.2","4"
"University of Rochester","147.2","40"
"Oregon State University","142.8","41"
"University of Notre Dame","142","42"
"University of Colorado Boulder","125.2","43"
"University of California, Merced","115.6","44"
"Rochester Institute of Technology","109.6","45"
"Washington University in St. Louis","99.2","46"
"Emory University","94.4","47"
"University of Pittsburgh","86.4","48"
"Worcester Polytechnic Institute","85.6","49"
"Georgia Institute of Technology","596.4","5"
"Dartmouth College","77.2","50"
"Stanford University","572","6"
"Massachusetts Institute of Technology","560","7"
"Northeastern University","430.4","8"
"University of Texas at Austin","416.4","9"
