name,conference,count,year
A Min Tjoa,ICDE,1,1984
A Min Tjoa,ICDE,1,1996
A. Aldo Faisal,AAAI,1,2021
A. B. Siddique 0001,SIGKDD,1,2020
A. B. Siddique 0001,SIGIR,1,2023
A. B. Siddique 0001,VLDB,1,2019
A. B. Siddique 0001,WWW,1,2021
A. B. Siddique 0001,WWW,1,2023
A. Cüneyd Tantug,ACL,1,2007
A. Cüneyd Tantug,ACL,1,2019
A. David Marshall,AAAI,1,2021
A. David Marshall,CVPR,1,2009
A. David Marshall,CVPR,1,2011
A. David Marshall,ECCV,1,1998
A. David Marshall,ICML,1,2019
A. E. Eiben,IJCAI,1,2007
A. Ercüment Çiçek,ISMB,1,2014
A. Jefferson Offutt,FSE,1,2016
A. Jefferson Offutt,ICSE,1,1993
A. Jefferson Offutt,ISSTA,1,1993
A. Jefferson Offutt,ISSTA,1,1996
A. Jefferson Offutt,PLDI,1,1987
A. P. Wim Böhm,ICS,1,1987
A. P. Wim Böhm,ISCA,1,1992
A. Rupam Mahmood,ICML,1,2014
A. Rupam Mahmood,ICML,1,2022
A. Rupam Mahmood,ICML,1,2023
A. Rupam Mahmood,IJCAI,1,2019
A. Selcuk Uluagac,NDSS,1,2021
A. Selcuk Uluagac,NDSS,2,2022
A. Selcuk Uluagac,WWW,2,2024
A. Taylan Cemgil,AAAI,1,2022
A. Taylan Cemgil,CVPR,1,2005
A. Taylan Cemgil,CVPR,1,2020
A. Taylan Cemgil,ICML,1,2013
A. Taylan Cemgil,ICML,1,2016
A. Taylan Cemgil,ICML,1,2018
A. Taylan Cemgil,ICML,1,2022
A. Taylan Cemgil,ICML,1,2023
A. V. Sreejith,LICS,1,2012
A. V. Sreejith,LICS,1,2019
A. W. Roscoe 0001,CAV,1,2012
Aanjhan Ranganathan,NDSS,2,2022
Aapo Hyvärinen,ICML,1,2008
Aapo Hyvärinen,ICML,1,2017
Aaron Bernstein,FOCS,1,2009
Aaron Bernstein,FOCS,2,2020
Aaron Bernstein,FOCS,1,2021
Aaron Bernstein,FOCS,1,2022
Aaron Bernstein,SODA,1,2008
Aaron Bernstein,SODA,1,2010
Aaron Bernstein,SODA,1,2011
Aaron Bernstein,SODA,1,2012
Aaron Bernstein,SODA,1,2016
Aaron Bernstein,SODA,1,2017
Aaron Bernstein,SODA,2,2018
Aaron Bernstein,SODA,2,2019
Aaron Bernstein,SODA,1,2023
Aaron Bernstein,STOC,1,2009
Aaron Bernstein,STOC,1,2013
Aaron Bernstein,STOC,1,2016
Aaron Bernstein,STOC,2,2019
Aaron Bernstein,STOC,1,2021
Aaron C. Courville,AAAI,1,2014
Aaron C. Courville,AAAI,1,2016
Aaron C. Courville,AAAI,2,2017
Aaron C. Courville,AAAI,1,2018
Aaron C. Courville,AAAI,1,2020
Aaron C. Courville,ACL,1,2016
Aaron C. Courville,ACL,1,2018
Aaron C. Courville,ACL,1,2021
Aaron C. Courville,ACL,1,2022
Aaron C. Courville,CVPR,2,2017
Aaron C. Courville,CVPR,1,2022
Aaron C. Courville,ECCV,1,2012
Aaron C. Courville,ECCV,1,2018
Aaron C. Courville,EMNLP,1,2017
Aaron C. Courville,EMNLP,1,2020
Aaron C. Courville,EMNLP,1,2023
Aaron C. Courville,ICCV,1,2015
Aaron C. Courville,ICCV,2,2019
Aaron C. Courville,ICCV,1,2021
Aaron C. Courville,ICML,1,2007
Aaron C. Courville,ICML,1,2011
Aaron C. Courville,ICML,1,2012
Aaron C. Courville,ICML,1,2013
Aaron C. Courville,ICML,1,2015
Aaron C. Courville,ICML,2,2016
Aaron C. Courville,ICML,1,2017
Aaron C. Courville,ICML,3,2018
Aaron C. Courville,ICML,2,2019
Aaron C. Courville,ICML,2,2020
Aaron C. Courville,ICML,3,2021
Aaron C. Courville,ICML,3,2022
Aaron C. Courville,ICML,2,2023
Aaron C. Courville,IJCAI,1,2017
Aaron C. Courville,NAACL,2,2021
Aaron Clauset,AAAI,1,2015
Aaron Clauset,STOC,1,2005
Aaron Clauset,WWW,1,2016
Aaron F. Bobick,AAAI,1,1999
Aaron F. Bobick,CVPR,1,1989
Aaron F. Bobick,CVPR,1,1991
Aaron F. Bobick,CVPR,4,1997
Aaron F. Bobick,CVPR,3,1998
Aaron F. Bobick,CVPR,1,2000
Aaron F. Bobick,CVPR,3,2001
Aaron F. Bobick,CVPR,3,2004
Aaron F. Bobick,CVPR,1,2005
Aaron F. Bobick,CVPR,1,2006
Aaron F. Bobick,CVPR,1,2014
Aaron F. Bobick,ECCV,1,1994
Aaron F. Bobick,ICCV,2,1995
Aaron F. Bobick,ICCV,1,1998
Aaron F. Bobick,ICCV,1,1999
Aaron F. Bobick,ICCV,1,2007
Aaron F. Bobick,SIGGRAPH,1,2003
Aaron F. Bobick,SIGGRAPH,1,2005
Aaron Potechin,FOCS,1,2010
Aaron Potechin,FOCS,1,2016
Aaron Potechin,FOCS,1,2017
Aaron Potechin,FOCS,1,2020
Aaron Potechin,FOCS,1,2021
Aaron Potechin,FOCS,2,2023
Aaron Potechin,SODA,1,2016
Aaron Potechin,SODA,1,2021
Aaron Potechin,STOC,1,2012
Aaron Potechin,STOC,1,2015
Aaron Potechin,STOC,1,2019
Aaron Potechin,STOC,1,2023
Aaron Potechin,STOC,1,2024
Aaron Roth 0001,AAAI,1,2015
Aaron Roth 0001,CVPR,1,2022
Aaron Roth 0001,EC,1,2010
Aaron Roth 0001,EC,1,2011
Aaron Roth 0001,EC,1,2012
Aaron Roth 0001,EC,3,2014
Aaron Roth 0001,EC,2,2015
Aaron Roth 0001,EC,2,2017
Aaron Roth 0001,EC,1,2018
Aaron Roth 0001,EC,1,2020
Aaron Roth 0001,EC,1,2021
Aaron Roth 0001,FOCS,1,2016
Aaron Roth 0001,FOCS,2,2019
Aaron Roth 0001,ICFP,1,2017
Aaron Roth 0001,ICFP,1,2019
Aaron Roth 0001,ICML,1,2014
Aaron Roth 0001,ICML,2,2017
Aaron Roth 0001,ICML,2,2018
Aaron Roth 0001,ICML,1,2019
Aaron Roth 0001,ICML,1,2020
Aaron Roth 0001,ICML,1,2021
Aaron Roth 0001,ICML,3,2023
Aaron Roth 0001,IJCAI,1,2016
Aaron Roth 0001,OOPSLA,1,2020
Aaron Roth 0001,POPL,1,2015
Aaron Roth 0001,SODA,2,2010
Aaron Roth 0001,SODA,2,2014
Aaron Roth 0001,SODA,1,2015
Aaron Roth 0001,SODA,1,2016
Aaron Roth 0001,SODA,1,2020
Aaron Roth 0001,SODA,1,2024
Aaron Roth 0001,STOC,2,2008
Aaron Roth 0001,STOC,1,2010
Aaron Roth 0001,STOC,1,2011
Aaron Roth 0001,STOC,1,2012
Aaron Roth 0001,STOC,2,2013
Aaron Roth 0001,STOC,1,2014
Aaron Roth 0001,STOC,1,2015
Aaron Roth 0001,STOC,2,2016
Aaron Schulman,ASPLOS,1,2023
Aaron Schulman,CCS,1,2014
Aaron Schulman,IMC,1,2011
Aaron Schulman,IMC,1,2014
Aaron Schulman,IMC,2,2015
Aaron Schulman,IMC,1,2019
Aaron Schulman,IMC,1,2020
Aaron Schulman,IMC,3,2021
Aaron Schulman,IMC,1,2022
Aaron Schulman,MOBISYS,1,2019
Aaron Schulman,NSDI,1,2010
Aaron Schulman,NSDI,1,2015
Aaron Schulman,NSDI,1,2019
Aaron Schulman,SIGCOMM,1,2019
Aaron Sidford,FOCS,1,2013
Aaron Sidford,FOCS,2,2014
Aaron Sidford,FOCS,2,2015
Aaron Sidford,FOCS,1,2016
Aaron Sidford,FOCS,1,2017
Aaron Sidford,FOCS,2,2018
Aaron Sidford,FOCS,2,2019
Aaron Sidford,FOCS,4,2020
Aaron Sidford,FOCS,1,2022
Aaron Sidford,FOCS,6,2023
Aaron Sidford,ICML,1,2015
Aaron Sidford,ICML,3,2016
Aaron Sidford,ICML,1,2017
Aaron Sidford,ICML,1,2020
Aaron Sidford,ICML,1,2021
Aaron Sidford,ICML,1,2022
Aaron Sidford,ICML,1,2023
Aaron Sidford,IJCAI,1,2023
Aaron Sidford,SODA,1,2014
Aaron Sidford,SODA,4,2018
Aaron Sidford,SODA,1,2019
Aaron Sidford,SODA,2,2020
Aaron Sidford,SODA,1,2021
Aaron Sidford,SODA,3,2022
Aaron Sidford,SODA,1,2023
Aaron Sidford,SODA,2,2024
Aaron Sidford,STOC,1,2013
Aaron Sidford,STOC,2,2016
Aaron Sidford,STOC,2,2017
Aaron Sidford,STOC,2,2019
Aaron Sidford,STOC,3,2020
Aaron Sidford,STOC,1,2021
Aaron Sidford,STOC,2,2022
Aaron Sidford,STOC,2,2023
Aaron Sidford,STOC,2,2024
Aaron Steven White,ACL,1,2019
Aaron Steven White,ACL,1,2020
Aaron Steven White,EMNLP,1,2016
Aaron Steven White,EMNLP,2,2018
Aaron Steven White,EMNLP,1,2021
Aaron Steven White,EMNLP,1,2023
Aaron Steven White,NAACL,1,2018
Aaron Steven White,NAACL,1,2024
Aaron Striegel,HPDC,1,2005
Aaron Striegel,IMC,1,2015
Aaron Striegel,SC,1,2005
Aaron Stump,CAV,1,2002
Aaron Stump,ICFP,1,2005
Aaron Stump,ICFP,1,2018
Aaron Stump,ICFP,1,2020
Aaron Stump,LICS,1,2001
Aaron Stump,POPL,1,2023
Aart Middeldorp,LICS,1,1989
Aart Middeldorp,LICS,1,2024
Aart Middeldorp,POPL,1,1997
Aarti Gupta,ASE,1,2011
Aarti Gupta,ASPLOS,1,2023
Aarti Gupta,CAV,1,1993
Aarti Gupta,CAV,1,2004
Aarti Gupta,CAV,3,2005
